file_id,transcription,duration
102-129232-0000,AND SHAKSPEARE'S STRAIN ONE HISTORY THERE IS ONE MIND COMMON TO ALL INDIVIDUAL MEN EVERY MAN IS AN INLET TO THE SAME AND TO ALL OF THE SAME,15.24
102-129232-0001,HE THAT IS ONCE ADMITTED TO THE RIGHT OF REASON IS MADE A FREEMAN OF THE WHOLE ESTATE WHAT PLATO HAS THOUGHT HE MAY THINK WHAT A SAINT HAS FELT HE MAY FEEL,14.61
102-129232-0002,FOR THIS IS THE ONLY AND SOVEREIGN AGENT OF THE WORKS OF THIS MIND HISTORY IS THE RECORD ITS GENIUS IS ILLUSTRATED BY THE ENTIRE SERIES OF DAYS,14.725
102-129232-0003,MAN IS EXPLICABLE BY NOTHING LESS THAN ALL HIS HISTORY WITHOUT HURRY WITHOUT REST THE HUMAN SPIRIT GOES FORTH FROM THE BEGINNING TO EMBODY EVERY FACULTY,14.1
102-129232-0004,EVERY THOUGHT EVERY EMOTION WHICH BELONGS TO IT IN APPROPRIATE EVENTS BUT THE THOUGHT IS ALWAYS PRIOR TO THE FACT,11.045
102-129232-0005,ALL THE FACTS OF HISTORY PREEXIST IN THE MIND AS LAWS EACH LAW IN TURN IS MADE BY CIRCUMSTANCES PREDOMINANT AND THE LIMITS OF NATURE GIVE POWER TO BUT ONE AT A TIME,13.98
102-129232-0006,AND THIS MUST READ IT THE SPHINX MUST SOLVE HER OWN RIDDLE IF THE WHOLE OF HISTORY IS IN ONE MAN IT IS ALL TO BE EXPLAINED FROM INDIVIDUAL EXPERIENCE,13.835
102-129232-0007,THERE IS A RELATION BETWEEN THE HOURS OF OUR LIFE AND THE CENTURIES OF TIME AS THE AIR I BREATHE IS DRAWN FROM THE GREAT REPOSITORIES OF NATURE,10.67
102-129232-0008,EVERY REVOLUTION WAS FIRST A THOUGHT IN ONE MAN'S MIND AND WHEN THE SAME THOUGHT OCCURS TO ANOTHER MAN IT IS THE KEY TO THAT ERA EVERY REFORM WAS ONCE A PRIVATE OPINION,15.405
102-129232-0009,AND WHEN IT SHALL BE A PRIVATE OPINION AGAIN IT WILL SOLVE THE PROBLEM OF THE AGE THE FACT NARRATED MUST CORRESPOND TO SOMETHING IN ME TO BE CREDIBLE OR INTELLIGIBLE,14.895
102-129232-0010,WE AS WE READ MUST BECOME GREEKS ROMANS TURKS PRIEST AND KING MARTYR AND EXECUTIONER,10.105
102-129232-0011,MUST FASTEN THESE IMAGES TO SOME REALITY IN OUR SECRET EXPERIENCE OR WE SHALL LEARN NOTHING RIGHTLY WHAT BEFELL ASDRUBAL OR CAESAR BORGIA,12.36
102-129232-0012,IS AS MUCH AN ILLUSTRATION OF THE MIND'S POWERS AND DEPRAVATIONS AS WHAT HAS BEFALLEN US EACH NEW LAW AND POLITICAL MOVEMENT HAS MEANING FOR YOU STAND BEFORE EACH OF ITS TABLETS AND SAY,16.495
102-129232-0013,UNDER THIS MASK DID MY PROTEUS NATURE HIDE ITSELF THIS REMEDIES THE DEFECT OF OUR TOO GREAT NEARNESS TO OURSELVES THIS THROWS OUR ACTIONS INTO PERSPECTIVE,14.545
102-129232-0014,AND AS CRABS GOATS SCORPIONS THE BALANCE AND THE WATERPOT LOSE THEIR MEANNESS WHEN HUNG AS SIGNS IN THE ZODIAC SO I CAN SEE MY OWN VICES WITHOUT HEAT,12.83
102-129232-0015,AND WE HEDGE IT ROUND WITH PENALTIES AND LAWS ALL LAWS DERIVE HENCE THEIR ULTIMATE REASON ALL EXPRESS MORE OR LESS DISTINCTLY SOME COMMAND OF THIS SUPREME ILLIMITABLE ESSENCE,16.635
102-129232-0016,PROPERTY ALSO HOLDS OF THE SOUL COVERS GREAT SPIRITUAL FACTS AND INSTINCTIVELY WE AT FIRST HOLD TO IT WITH SWORDS AND LAWS AND WIDE AND COMPLEX COMBINATIONS,14.84
102-129232-0017,WHICH BELONG TO ACTS OF SELF RELIANCE IT IS REMARKABLE THAT INVOLUNTARILY WE ALWAYS READ AS SUPERIOR BEINGS UNIVERSAL HISTORY THE POETS THE ROMANCERS,15.62
102-129232-0018,DO NOT IN THEIR STATELIEST PICTURES IN THE SACERDOTAL THE IMPERIAL PALACES IN THE TRIUMPHS OF WILL OR OF GENIUS ANYWHERE LOSE OUR EAR,13.535
102-129232-0019,YONDER SLIP OF A BOY THAT READS IN THE CORNER FEELS TO BE TRUE OF HIMSELF WE SYMPATHIZE IN THE GREAT MOMENTS OF HISTORY IN THE GREAT DISCOVERIES THE GREAT RESISTANCES,14.975
102-129232-0020,THE GREAT PROSPERITIES OF MEN BECAUSE THERE LAW WAS ENACTED THE SEA WAS SEARCHED THE LAND WAS FOUND OR THE BLOW WAS STRUCK,11.46
102-129232-0021,AS WE OURSELVES IN THAT PLACE WOULD HAVE DONE OR APPLAUDED WE HAVE THE SAME INTEREST IN CONDITION AND CHARACTER,9.055
102-129232-0022,POWER AND GRACE WHICH WE FEEL TO BE PROPER TO MAN PROPER TO US SO ALL THAT IS SAID OF THE WISE MAN BY STOIC OR ORIENTAL OR MODERN ESSAYIST,13.825
102-129232-0023,DESCRIBES TO EACH READER HIS OWN IDEA DESCRIBES HIS UNATTAINED BUT ATTAINABLE SELF ALL LITERATURE WRITES THE CHARACTER OF THE WISE MAN BOOKS,13.35
102-129232-0024,AS BY PERSONAL ALLUSIONS A TRUE ASPIRANT THEREFORE NEVER NEEDS LOOK FOR ALLUSIONS PERSONAL AND LAUDATORY IN DISCOURSE HE HEARS THE COMMENDATION,14.215
102-129232-0025,NOT OF HIMSELF BUT MORE SWEET OF THAT CHARACTER HE SEEKS IN EVERY WORD THAT IS SAID CONCERNING CHARACTER YEA FURTHER IN EVERY FACT AND CIRCUMSTANCE,14.615
102-129232-0026,THESE HINTS DROPPED AS IT WERE FROM SLEEP AND NIGHT LET US USE IN BROAD DAY THE STUDENT IS TO READ HISTORY ACTIVELY AND NOT PASSIVELY,13.05
102-129232-0027,THERE IS NO AGE OR STATE OF SOCIETY OR MODE OF ACTION IN HISTORY TO WHICH THERE IS NOT SOMEWHAT CORRESPONDING IN HIS LIFE EVERY THING TENDS IN A WONDERFUL MANNER TO ABBREVIATE ITSELF,14.125
102-129232-0028,AND YIELD ITS OWN VIRTUE TO HIM HE SHOULD SEE THAT HE CAN LIVE ALL HISTORY IN HIS OWN PERSON HE MUST SIT SOLIDLY AT HOME AND NOT SUFFER HIMSELF TO BE BULLIED BY KINGS OR EMPIRES,14.025
102-129232-0029,BUT KNOW THAT HE IS GREATER THAN ALL THE GEOGRAPHY AND ALL THE GOVERNMENT OF THE WORLD,6.095
102-129232-0030,FROM ROME AND ATHENS AND LONDON TO HIMSELF AND NOT DENY HIS CONVICTION THAT HE IS THE COURT AND IF ENGLAND OR EGYPT HAVE ANY THING TO SAY TO HIM HE WILL TRY THE CASE,13.705
102-129232-0031,BABYLON TROY TYRE PALESTINE AND EVEN EARLY ROME ARE PASSING ALREADY INTO FICTION THE GARDEN OF EDEN THE SUN STANDING STILL IN GIBEON,14.48
102-129232-0032,IS POETRY THENCEFORWARD TO ALL NATIONS WHO CARES WHAT THE FACT WAS WHEN WE HAVE MADE A CONSTELLATION OF IT TO HANG IN HEAVEN AN IMMORTAL SIGN LONDON AND PARIS AND NEW YORK MUST GO THE SAME WAY,16.195
102-129232-0033,WHAT IS HISTORY SAID NAPOLEON BUT A FABLE AGREED UPON THIS LIFE OF OURS IS STUCK ROUND WITH EGYPT GREECE GAUL ENGLAND WAR COLONIZATION CHURCH COURT AND COMMERCE,16.51
102-129232-0034,I WILL NOT MAKE MORE ACCOUNT OF THEM I BELIEVE IN ETERNITY I CAN FIND GREECE ASIA ITALY SPAIN AND THE ISLANDS,10.93
102-129232-0035,IN MY OWN MIND WE ARE ALWAYS COMING UP WITH THE EMPHATIC FACTS OF HISTORY IN OUR PRIVATE EXPERIENCE AND VERIFYING THEM HERE ALL HISTORY BECOMES SUBJECTIVE IN OTHER WORDS THERE IS PROPERLY,16.845
102-129232-0036,THE BETTER FOR HIM HISTORY MUST BE THIS OR IT IS NOTHING EVERY LAW WHICH THE STATE ENACTS INDICATES A FACT IN HUMAN NATURE THAT IS ALL,12.805
102-129232-0037,BEFORE A FRENCH REIGN OF TERROR AND A SALEM HANGING OF WITCHES BEFORE A FANATIC REVIVAL AND THE ANIMAL MAGNETISM IN PARIS OR IN PROVIDENCE,11.92
102-129232-0038,WE ASSUME THAT WE UNDER LIKE INFLUENCE SHOULD BE ALIKE AFFECTED AND SHOULD ACHIEVE THE LIKE,7.72
102-129232-0039,OUR PROXY HAS DONE ALL INQUIRY INTO ANTIQUITY,5.235
102-129232-0040,STONEHENGE THE OHIO CIRCLES MEXICO MEMPHIS IS THE DESIRE TO DO AWAY THIS WILD SAVAGE AND PREPOSTEROUS THERE OR THEN AND INTRODUCE IN ITS PLACE THE HERE AND THE NOW,16.045
102-129232-0041,BELZONI DIGS AND MEASURES IN THE MUMMY PITS AND PYRAMIDS OF THEBES UNTIL HE CAN SEE THE END OF THE DIFFERENCE BETWEEN THE MONSTROUS WORK AND HIMSELF,10.065
102-129232-0042,WHEN HE HAS SATISFIED HIMSELF IN GENERAL AND IN DETAIL THAT IT WAS MADE BY SUCH A PERSON AS HE SO ARMED AND SO MOTIVED,9.105
102-129232-0043,HIS THOUGHT LIVES ALONG THE WHOLE LINE OF TEMPLES AND SPHINXES AND CATACOMBS PASSES THROUGH THEM ALL WITH SATISFACTION AND THEY LIVE AGAIN TO THE MIND OR ARE NOW,12.705
102-129232-0044,A GOTHIC CATHEDRAL AFFIRMS THAT IT WAS DONE BY US AND NOT DONE BY US SURELY IT WAS BY MAN BUT WE FIND IT NOT IN OUR MAN BUT WE APPLY OURSELVES TO THE HISTORY OF ITS PRODUCTION,14.68
102-129232-0045,WE PUT OURSELVES INTO THE PLACE AND STATE OF THE BUILDER WE REMEMBER THE FOREST DWELLERS THE FIRST TEMPLES THE ADHERENCE TO THE FIRST TYPE AND THE DECORATION OF IT AS THE WEALTH OF THE NATION INCREASED,14.69
102-129232-0046,THE VALUE WHICH IS GIVEN TO WOOD BY CARVING LED TO THE CARVING OVER THE WHOLE MOUNTAIN OF STONE OF A CATHEDRAL WHEN WE HAVE GONE THROUGH THIS PROCESS,9.415
102-129232-0047,WE HAVE AS IT WERE BEEN THE MAN THAT MADE THE MINSTER WE HAVE SEEN HOW IT COULD AND MUST BE WE HAVE THE SUFFICIENT REASON THE DIFFERENCE BETWEEN MEN IS IN THEIR PRINCIPLE OF ASSOCIATION,14.47
102-129232-0048,SOME MEN CLASSIFY OBJECTS BY COLOR AND SIZE AND OTHER ACCIDENTS OF APPEARANCE OTHERS BY INTRINSIC LIKENESS OR BY THE RELATION OF CAUSE AND EFFECT,11.95
102-129232-0049,ALL EVENTS PROFITABLE ALL DAYS HOLY ALL MEN DIVINE FOR THE EYE IS FASTENED ON THE LIFE AND SLIGHTS THE CIRCUMSTANCE EVERY CHEMICAL SUBSTANCE,14.52
102-129232-0050,EVERY PLANT EVERY ANIMAL IN ITS GROWTH TEACHES THE UNITY OF CAUSE THE VARIETY OF APPEARANCE UPBORNE AND SURROUNDED AS WE ARE BY THIS ALL CREATING NATURE,14.05
102-129232-0051,SOFT AND FLUID AS A CLOUD OR THE AIR WHY SHOULD WE BE SUCH HARD PEDANTS AND MAGNIFY A FEW FORMS WHY SHOULD WE MAKE ACCOUNT OF TIME OR OF MAGNITUDE OR OF FIGURE THE SOUL KNOWS THEM NOT,15.615
